obs_id,date,pm25,pm10,o3,no2,so2,env_index,Car_7-9,Van_7-9,Bus_7-9,Minibus_7-9,Truck_7-9,3Cycle_7-9,Car_9-17,Van_9-17,Bus_9-17,Minibus_9-17,Truck_9-17,3Cycle_9-17,Car_17-19,Van_17-19,Bus_17-19,Minibus_17-19,Truck_17-19,3Cycle_17-19,avg_ridership_monthly,avg_ridership_workday_monthly,TCI,tempmax,tempmin,temp,temp_calib,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,rain,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,weekend,seasons,holiday
1633,6/20/2024,52,22,15,,1,0.84539969,7001,1860,128,3,106,244,27473,10123,529,0,740,785,7296,2274,149,1,131,173,,,,36.4,27.1,31,31.01370434,45.2,29.7,36.5,24.1,67.9,2.577,100,8.33,TRUE,38.9,16.1,16.1,6.9,2.9,266.6,1005.5,40,9.9,255.7,22.1,9.139911559,0.44,"Rain, Partially cloudy",FALSE,,No
1634,6/21/2024,51,23,10,1,1,0.441026723,6900,1683,240,31,66,118,28620,7996,1093,101,288,861,7724,1964,299,22,54,280,,,,34.5,27.5,30.7,30.70994845,43.7,30.4,36.3,24.1,68.4,0,0,0,TRUE,42.5,11.8,11.8,8.2,4.3,250.2,1004.6,47.3,10,256.6,22.1,9,0.47,Partially cloudy,FALSE,Rainy,No
1635,6/22/2024,47,20,8,,1,0.696120436,,,,,,,,,,,,,,,,,,,,,,33.9,27.7,30.8,30.78662335,43.2,30.4,36.4,24,67.4,0,0,0,TRUE,46.8,12.8,12.8,7.6,1.7,218.9,1003.7,47.1,10,214.4,18.5,8,0.5,Partially cloudy,TRUE,,Yes
1636,6/23/2024,46,21,7,,,0.225862125,,,,,,,,,,,,,,,,,,,,,,33.2,28.3,30.2,30.19498133,40.9,31,35,23.5,67.6,1.019,100,12.5,TRUE,44.6,15.4,15.4,7.4,1.9,243.5,1004.8,52,10,132.7,11.5,,0.563782315,"Rain, Partially cloudy",TRUE,Rainy,Yes
1637,6/24/2024,50,20,7,,,0.691793487,12912,2402,221,10,76,222,36324,11019,1071,15,623,1394,8701,2384,310,1,82,395,,,,31.8,27.2,29.5,29.48848512,39.9,29.6,33.9,23.4,70,0.145,100,4.17,TRUE,41.4,12.7,12.7,8,1.6,228.1,1004.8,51.9,10,126.4,10.9,-15.4830992,0.58,"Rain, Partially cloudy",FALSE,RAINY,No
1638,6/25/2024,44,22,6,,,0.900925834,5366,2577,8,0,89,7,14687,7777,40,0,630,26,3570,1715,12,1,73,2,,,,31.8,25.1,28.7,28.69581197,39.1,25.1,32.6,24,76.3,21.705,100,33.33,TRUE,42.8,12.5,12.5,6.7,2,199.8,1005,68.8,9.5,132.2,11.4,23.85093235,0.61,"Rain, Partially cloudy",FALSE,Rainy,No
1639,6/26/2024,49,29,7,,,0.023584288,5134,1033,78,13,60,29,17719,5885,275,28,373,150,5501,1350,61,7,29,42,,,,29.7,25.9,27.1,27.09246549,36.5,25.9,29.7,24.9,87.7,16.166,100,37.5,TRUE,40.7,10.2,10.2,3.6,0.8,185.9,1006.9,68.7,9.2,78.2,6.6,4,,"Rain, Partially cloudy",FALSE,Rainy,No
1640,6/27/2024,63,20,7,,,0.184986582,15386,4229,189,5,120,178,50487,16147,701,20,881,810,12823,3391,185,10,89,152,,,,33.5,25.7,29.3,29.3020455,40.9,25.7,34.2,25.1,79.1,1.619,100,16.67,TRUE,33.1,9.1,9.1,4.8,0.5,156.9,1008.4,47.7,10,220.8,19,7,0.69,"Rain, Partially cloudy",FALSE,Rainy,
1641,6/28/2024,58,26,9,,1,0.995533091,8680,1684,407,2,78,249,32171,8282,1434,18,470,1803,9187,2498,314,8,40,522,,,,35,27.7,30.7,30.71963682,43.9,31.8,37.2,25.1,72.9,0.019,100,4.17,TRUE,26.3,10.8,10.8,6,0.6,184.7,1007.8,48,10,216.4,18.8,9,0.72,"Rain, Partially cloudy",,Rainy,
1642,6/29/2024,57,21,6,,,0.752652014,,,,,,,,,,,,,,,,,,,,,,31.5,27,29.2,29.19433636,41.3,30.1,35.8,25.8,82.1,1.989,100,25,TRUE,28.8,10.1,10.1,6.3,2.9,163.3,1008.2,60,9.8,128.1,11.1,6,0.75,"Rain, Partially cloudy",TRUE,Rainy,Yes
1643,6/30/2024,50,20,4,,1,0.276758315,,,,,,,,,,,,,,,,,,,,,,33.4,25.9,29.4,29.40570803,41.6,25.9,34.8,25.2,78.9,31.824,100,25,,46.4,12.7,12.7,5.4,0.6,193.5,1009.2,61.3,9.9,247.6,21.4,8,0.79,,TRUE,Rainy,
1644,7/1/2024,46,23,7,1,,0.33528618,7435,1739,152,36,116,148,28958,9639,682,77,531,557,7343,2412,162,11,88,130,425,491,,32.4,26.5,29.3,29.29502626,40.4,26.5,33.9,24.4,76,0.159,100,4.17,TRUE,25.9,10.8,10.8,5.6,1.9,270.3,1008.3,50.7,10,140.9,12.2,26.37358593,0.83,"Rain, Partially cloudy",FALSE,RAIny,No
1645,7/2/2024,54,23,7,,,0.54666272,13390,6422,196,14,428,9,46644,28394,881,35,4222,32,13008,7284,241,5,650,11,,,,35.3,26.2,30.2,30.20103932,43.4,26.2,34.6,23.7,68.9,1.27,100,20.83,TRUE,37.1,10.2,10.2,6.6,1.7,270,1006.6,51.9,9.9,236.7,20.5,9,0.907553336,"Rain, Partially cloudy",FALSE,Rainy,No
1646,7/3/2024,56,23,9,,,0.448601381,4132,2092,136,2,274,16,8992,8796,120,3,1604,34,2472,2051,35,0,161,2,,,,33.5,27.4,29.8,29.80144128,42,30.9,35.7,25,75.9,1.19,100,20.83,TRUE,23.8,10.1,10.1,5.7,2.1,168.9,1007.6,55.1,9.5,121.1,10.5,5,0.9,"Rain, Partially cloudy",FALSE,Rainy,
1647,7/4/2024,59,17,1,,,0.648155462,8042,2681,179,2,418,94,25971,12066,642,11,2925,423,7372,2772,161,1,694,131,,,,29.4,24.9,27.1,27.09854175,36.4,24.9,30.2,24.7,86.9,48.894,100,41.67,,24.5,8.9,8.9,4.6,0,162.4,1009.4,60.2,9.4,137.3,12,6,0.94,"Rain, Partially cloudy",FALSE,Rainy,No
1648,7/5/2024,43,31,6,,,0.169871127,4354,1524,40,0,30,10,16731,6948,123,1,323,57,4469,1919,28,0,35,16,,,,30.8,24.2,27.6,27.60217324,38.3,24.2,31,24.3,82.5,31.513,100,29.17,TRUE,30.2,12.5,12.5,5.9,1.3,193.5,1007.7,58.9,9.7,158.2,13.5,7,0.97,,,Rainy,No
1649,7/6/2024,61,20,10,,,0.512275836,,,,,,,,,,,,,,,,,,,,,,34.3,25.6,29.2,29.2133475,43,25.6,33.4,24.3,75.8,0.459,100,16.67,TRUE,27,12.1,12.1,5,0,205.6,1005.7,56.5,10,268,23.1,,0,"Rain, Partially cloudy",TRUE,Rainy,Yes
1650,7/7/2024,53,19,11,,,0.326555699,,,,,,,,,,,,,,,,,,,,,,34.1,26.5,30.2,30.18427282,41.9,26.5,35.1,24,70.2,0.714,100,8.33,TRUE,21.6,9.4,9.4,5.4,1.1,194.8,1005.9,49.1,10,252.2,21.7,9,0.04,"rAIN, PaRTIALLy CloUDy",,Rainy,Yes
1651,7/8/2024,53,22,4,,,0.776232496,11173,3243,30,7,115,10,40345,15279,102,20,850,29,10127,4700,33,5,160,2,,,,32.7,27.2,29.6,29.61521951,43.1,31.2,35.9,25.4,78.4,0.657,100,8.33,TRUE,27.7,9,9,5.7,2.2,162.1,1006.5,52.8,9.9,234.2,20.1,-16.39299333,0.07,"Rain, Partially cloudy",FALSE,Rainy,
1652,7/9/2024,59,20,6,,,0.164777612,2949,717,55,2,37,170,10522,2891,219,3,151,559,2183,560,83,0,15,87,,,,32.4,26.9,29.6,29.59716524,43,30.2,35.8,25.3,78.3,0.09,100,8.33,TRUE,26.3,8,8,5.1,0.8,216,1007.8,54.1,10,165.2,14.3,6,0.11,"Rain, Partially cloudy",FALSE,Rainy,No
1653,7/10/2024,54,25,5,,,0.816239733,1561,535,0,0,25,6,4415,2081,0,0,103,35,1095,500,0,0,8,4,,,,31.3,27.3,29.1,29.11051158,40.7,30.7,35.2,25.4,80.5,1.194,100,16.67,TRUE,33.1,9.1,9.1,4.2,0.2,167.1,1008.5,51,10,195.9,17.1,8,0.139462639,"Rain, Partially cloudy",FALSE,Rainy,No
1654,7/11/2024,56,23,6,,,0.079902896,5375,2284,24,0,288,0,12968,12708,73,0,2856,16,3509,1920,11,0,250,6,,,,31.9,25.8,28.6,28.61226843,39.9,25.8,32.6,24.5,79.2,12.349,100,37.5,TRUE,47.2,12.6,12.6,5.6,1,218.3,1007.6,65.7,9.7,172.2,14.8,9,0.17,"Rain, Partially cloudy",FALSE,,No
1655,7/12/2024,51,27,8,,,0.860204298,12278,2112,163,48,89,414,33407,8515,626,172,443,2141,8056,1995,159,30,55,558,,,,32.8,26.1,28.9,28.90369144,40.8,26.1,32.8,23.7,74.3,6.807,100,25,TRUE,40.3,10.8,10.8,5.3,0.5,223.2,1006.1,62.7,9.4,207.4,17.9,9,0.2,"Rain, Partially cloudy",FALSE,,No
1656,7/13/2024,62,24,9,,,0.076527013,,,,,,,,,,,,,,,,,,,,,,32,25.7,28.7,28.70327254,37.6,25.7,32.4,23.5,73.9,5.928,100,16.67,TRUE,42.1,16.6,16.6,8.7,2.8,235.2,1004.7,53.9,10,123.1,10.8,5,0.230117231,"Rain, Partially cloudy",TRUE,Rainy,Yes
