obs_id,date,daily_ktCO2,pm25,pm10,o3,no2,so2,env_index,Car_7-9,Van_7-9,Bus_7-9,Minibus_7-9,Truck_7-9,3Cycle_7-9,Car_9-17,Van_9-17,Bus_9-17,Minibus_9-17,Truck_9-17,3Cycle_9-17,Car_17-19,Van_17-19,Bus_17-19,Minibus_17-19,Truck_17-19,3Cycle_17-19,avg_ridership_monthly,avg_ridership_workday_monthly,TCI,tempmax,tempmin,temp,temp_calib,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,rain,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,weekend,seasons,holiday
249,9/5/2020,48.798032,54,17,12,2,,0.524639606,,,,,,,,,,,,,,,,,,,,,9.56,33.2,26.5,30,29.99726663,41.3,26.5,36.4,25.5,77.5,32.122,100,12.5,TRUE,27,17,17,6.5,0.7,181.2,1006.8,46.4,9.9,119.8,10.3,5,0.6,,,Rainy,
250,9/6/2020,47.330644,44,16,7,3,,0.289285865,,,,,,,,,,,,,,,,,,,,,5.69,34.2,26,30.3,30.30471823,42.8,26,36.3,25.2,75.5,2.583,100,8.33,TRUE,42.5,22.3,22.3,8.1,0.7,207.7,1006.8,49.8,10,137.2,12,5,0.621091089,"Rain, Partially cloudy",,RAiNY,Yes
251,9/7/2020,48.674607,40,22,9,4,,0.49170512,,,,,,,,,,,,,,,,,,,,,6.24,34.5,27,29.7,29.7015236,43,30.2,35.5,25.2,77.6,4.111,100,12.5,TRUE,35.6,18.9,18.9,8.3,0,231.2,1007.4,57.4,9.7,103,8.9,4,0.66,"Rain, Partially cloudy",FALSE,RaIny,No
252,9/8/2020,49.521308,50,29,3,5,,0.415422587,,,,,,,,,,,,,,,,,,,,,49.64,35,26.7,29.5,29.49237516,42.2,30,34.6,24.6,75.8,0.832,100,8.33,TRUE,24.5,18.4,18.4,5.3,0,180.2,1008.2,45.6,10.1,125.5,10.8,,3.390925542,"Rain, Partially cloudy",FALSE,Rainy,No
253,9/9/2020,49.131681,67,26,16,7,,0.379608012,,,,,,,,,,,,,,,,,,,,,45.37,33,26,29.1,29.08840591,42.1,26,34.5,25.5,81.7,3.925,100,20.83,TRUE,25.9,16.1,16.1,5.1,0.2,160.4,1007.9,50.7,9.7,96.8,8.3,3.895060467,,"Rain, Partially cloudy",FALSE,,No
254,9/10/2020,48.820817,57,19,8,6,,0.820440285,,,,,,,,,,,,,,,,,,,,,67.59,34.5,27.2,29.7,29.70587583,43,32,36.3,25.7,79.7,13.406,100,16.67,TRUE,30.2,13.4,13.4,4.8,0.7,160.2,1006.2,47.1,9.8,72.5,6.3,3,0.75,"Rain, Partially cloudy",FALSE,Rainy,No
255,9/11/2020,48.519575,41,20,3,7,,0.316827031,,,,,,,,,,,,,,,,,,,,,47.77,33.7,26.7,30.1,30.08807765,41.9,30.2,36.1,25.2,76,0.18,100,8.33,,33.5,21.9,21.9,7.9,1.2,183.1,1007.2,43.7,10,131.7,11.3,4,0.79,"Rain, Partially cloudy",FALSE,Rainy,
256,9/12/2020,47.315556,42,18,2,6,,0.858659446,,,,,,,,,,,,,,,,,,,,,12.51,33.7,27,29.6,29.57930755,40.7,31.2,35.8,25.3,78.3,2.82,100,16.67,TRUE,31.3,20.4,20.4,7.7,1.5,175.1,1008.7,44.8,9.7,119,10.2,5,0.83,"Rain, Partially cloudy",TRUE,Rainy,Yes
257,9/13/2020,46.313315,44,17,7,6,,0.346530806,,,,,,,,,,,,,,,,,,,,,9.16,32.6,26.6,29.4,29.39177359,40.3,26.6,35.6,25.6,80.1,4.266,100,12.5,TRUE,26.6,15.2,15.2,6.9,1.2,156.1,1009,45.3,9.9,100.9,8.7,4,0.86,"Rain, Partially cloudy",TRUE,Rainy,yes
258,9/14/2020,49.060946,39,24,12,10,,0.466325688,,,,,,,,,,,,,,,,,,,,,29.63,32.7,26.2,29.7,29.69836519,40.9,26.2,36,25.7,79.9,11.347,100,8.33,TRUE,29.5,15.7,15.7,7.6,0.6,172.6,1008.1,47.4,10,84.8,7.4,4,0.89,"Rain, Partially cloudy",FALSE,Rainy,No
259,9/15/2020,49.834438,47,26,16,11,,0.454822071,,,,,,,,,,,,,,,,,,,,,35.74,32.7,25,28.5,28.49705186,40,25,32.9,25.1,82.5,43.899,100,20.83,TRUE,27.4,19.4,19.4,7,0.3,180.7,1008.1,52.2,9.6,84,7.2,4,0.93,,FALSE,Rainy,No
260,9/16/2020,48.693924,52,28,14,10,,0.613574659,,,,,,,,,,,,,,,,,,,,,48.06,34.2,26,29.6,29.60162035,41.2,26,34.7,24.9,76.9,6.428,100,12.5,,31.3,18.9,18.9,8.4,0.5,215.8,1007.3,45.4,10,120.2,10.5,4,0.96,"Rain, Partially cloudy",FALSE,Rainy,No
261,9/17/2020,48.923435,50,24,5,9,,0.415917829,,,,,,,,,,,,,,,,,,,,,32.88,34.5,27.1,30.4,30.40326188,42.7,30.2,36.3,24.8,72.8,0.238,100,8.33,TRUE,31.7,17.5,17.5,10,2.6,259.3,1005.2,42.7,10,111.1,9.6,4,0,"Rain, Partially cloudy",,,No
262,9/18/2020,48.563576,50,16,5,4,,0.24809093,,,,,,,,,,,,,,,,,,,,,52.44,30.3,27,28.6,28.61402403,36.7,31.2,33.4,24.5,78.6,1.886,100,20.83,,38.2,18.6,18.6,10.3,1,258.4,1002.1,54.7,9.6,48,4.2,2,,"Rain, Partially cloudy",FALSE,Rainy,No
263,9/19/2020,47.313335,39,16,4,3,,0.88222455,,,,,,,,,,,,,,,,,,,,,13.13,28.3,26,27.1,27.07712767,33.9,26,30,25.1,88.8,9.879,100,58.33,TRUE,51.8,22.3,22.3,11,3.2,202.1,1002.3,72.8,8.5,59.5,5.1,2,0.06,"Rain, Partially cloudy",TRUE,,Yes
264,9/20/2020,46.432266,26,31,11,4,,0.373888582,,,,,,,,,,,,,,,,,,,,,6.56,28.9,26,27.4,27.40199322,34.7,26,31.1,25,87.3,5.699,100,29.17,TRUE,49.7,19.4,19.4,9.4,1.1,169.8,1007.6,62.1,9.7,39.5,3.4,,0.1,"Rain, Partially cloudy",,RAInY,Yes
265,9/21/2020,48.3454,55,39,12,9,,0.288517084,,,,,,,,,,,,,,,,,,,,,36.53,32.7,25,28.1,28.09894958,40.2,25,31.8,25.2,85.4,1.005,100,8.33,TRUE,29.5,17,17,6.1,0,157.5,1008.9,53.6,9.4,126.3,10.9,5,,"Rain, Partially cloudy",FALSE,,No
266,9/22/2020,48.960568,62,42,15,13,,0.906307526,,,,,,,,,,,,,,,,,,,,,58.27,32.6,25.2,29.1,29.08785484,39.5,25.2,34.4,25.5,81.8,5.631,100,8.33,TRUE,20.5,13.9,13.9,5.5,0.6,354.4,1008.5,52.3,9.5,83.6,7.3,4,0.16,"Rain, Partially cloudy",FALSE,Rainy,No
267,9/23/2020,49.325186,77,21,9,3,,0.178960698,,,,,,,,,,,,,,,,,,,,,59.9,33.2,24.7,28.4,28.4034785,42.4,24.7,33.3,25.9,87.3,35.31,100,16.67,TRUE,21.6,17,17,5.7,0.2,94.8,1008.6,55.1,8.9,68.1,5.8,3,0.2,"Rain, Partially cloudy",FALSE,Rainy,No
268,9/24/2020,49.180114,37,32,13,4,,0.308421501,,,,,,,,,,,,,,,,,,,,,50.06,32,24.7,27.7,27.71594032,38.5,24.7,30.6,24.4,83.3,3.597,100,20.83,TRUE,53.6,19.5,19.5,7.3,0.1,241.2,1009.9,54,9.6,91.2,7.8,3,0.25,"Rain, Partially cloudy",,Rainy,No
269,9/25/2020,49.079905,46,33,6,6,,0.088356039,,,,,,,,,,,,,,,,,,,,,39.22,33.5,26,29.7,29.71106028,39.3,26,33.9,23.7,71.3,0,0,0,FALSE,31,16.6,16.6,7.9,0.8,233.2,1008.8,37.8,10,134.5,11.5,4,0.27,partIAllY cLOudy,FALSE,,No
270,9/26/2020,47.498646,83,20,8,7,,0.945790804,,,,,,,,,,,,,,,,,,,,,25.93,34.1,27,30.6,30.60113517,39.9,29.6,35.6,23.7,67.3,0,0,0,FALSE,38.2,20,20,11.2,1.6,265.7,1008.2,43.1,10,129.3,11,4,0.3,Partially cloudy,TRUE,,Yes
271,9/27/2020,47.392856,49,27,6,7,,0.958818395,,,,,,,,,,,,,,,,,,,,,10.71,34.7,24,30,30.00077481,41.2,24,34.5,23.9,71.3,44.981,100,12.5,TRUE,33.1,24.9,24.9,11.6,2.4,275.1,1006.6,47.5,9.5,116.8,10,,0.34,"Rain, Partially cloudy",TRUE,Rainy,Yes
272,9/28/2020,49.521826,49,18,7,8,,0.94547629,,,,,,,,,,,,,,,,,,,,,30,31.7,24.7,27.3,27.31812912,38.5,24.7,30.5,25,87.6,20.589,100,16.67,TRUE,32.4,18.2,18.2,7.1,0.3,225.3,1005.6,56.6,9.4,74.5,6.5,3,0.37,"Rain, Partially cloudy",FALSE,Rainy,No
273,9/29/2020,49.374766,38,25,11,11,,0.295049175,,,,,,,,,,,,,,,,,,,,,39.41,32.2,25,27.9,27.88643122,39.5,25,31.2,25.1,86.1,35.208,100,16.67,TRUE,40.3,22.7,22.7,8.6,0.2,194.9,1006.5,54.6,9.6,100.7,8.7,4,0.41,,FALSE,Rainy,No
274,9/30/2020,49.385505,57,26,6,9,,0.478437775,,,,,,,,,,,,,,,,,,,,,32.22,33,26,29.1,29.12069603,39.2,26,33,24.4,77.1,0.588,100,8.33,TRUE,41.4,19.5,19.5,6.4,0.1,250.6,1006.8,48.1,9.8,96.7,8.2,4,0.44,"Rain, Partially cloudy",FALSE,Rainy,No
275,10/1/2020,47.302909,56,21,7,12,,0.105109866,,,,,,,,,,,,,,,,,,,300,368,39.8,33,25,29.5,29.50262332,40.4,25,33.8,23.9,72.6,7.042,100,8.33,TRUE,32.8,18.9,18.9,11.3,2.3,249.1,1006,47.1,9.8,114.2,9.9,4.067887941,0.48,"Rain, Partially cloudy",FALSE,Rainy,No
276,10/2/2020,47.161214,48,25,12,14,,0.617129361,,,,,,,,,,,,,,,,,,,,,64.73,33.5,24.3,28.2,28.20055852,42.4,24.3,31,24.6,82.2,95.516,100,16.67,TRUE,21.6,25.4,25.4,7.8,0.7,238.4,1006.3,54,9.4,97.1,8.4,4,,"Rain, Partially cloudy",FALSE,RaIny,No
277,10/3/2020,45.911621,57,18,11,12,,0.305901324,,,,,,,,,,,,,,,,,,,,,20.63,30.3,25,27.2,27.19296429,36.8,25,30.3,25.2,89.3,20.843,100,12.5,TRUE,21.2,9.8,9.8,4.5,0.1,73.8,1007.5,55.6,9.5,83.7,7.2,3.733318349,0.54,"rain, pARTIallY clOudy",TRUE,Rainy,Yes
278,10/4/2020,44.905584,43,23,10,9,,0.298987078,,,,,,,,,,,,,,,,,,,,,6.67,32.5,24.7,28,27.99779404,39.5,24.7,31.8,25.1,84.8,23.578,100,16.67,TRUE,20.9,14,14,5.5,0.3,172.9,1008.4,53.4,9.7,131.9,11.5,,0.58,"Rain, Partially cloudy",TRUE,Rainy,Yes
279,10/5/2020,47.08343,58,26,12,12,,0.784700715,,,,,,,,,,,,,,,,,,,,,29.31,32.5,25.7,28.7,28.69440037,39.4,25.7,33.2,25.2,82.4,13.723,100,20.83,TRUE,22,12.5,12.5,5.6,0.1,328.3,1008.2,55.1,9.8,101,8.7,6,0.61,"Rain, Partially cloudy",FALSE,Rainy,No
280,10/6/2020,47.806523,68,28,12,9,,0.01022928,,,,,,,,,,,,,,,,,,,,,45.76,33,25.7,28.2,28.20203445,40.9,25.7,32.4,25.1,84.1,1.017,100,20.83,TRUE,42.5,16.1,16.1,6.1,0,311.3,1008.2,51.2,9.4,123.8,10.5,,0.64,"Rain, Partially cloudy",FALSE,Rainy,No
281,10/7/2020,47.877169,67,20,5,10,,0.498977205,,,,,,,,,,,,,,,,,,,,,42.11,33.6,26,29.1,29.10475356,39.9,26,33.7,24.7,78.3,0.498,100,8.33,TRUE,38.2,23.7,23.7,10.2,0.3,18.5,1007.2,47.1,9.8,134.9,11.7,5,0.68,"Rain, Partially cloudy",FALSE,Rainy,No
282,10/8/2020,47.418999,57,20,4,18,,0.611818437,,,,,,,,,,,,,,,,,,,,,33.86,28.1,24,26.1,26.09667767,33,24,27.2,23.9,87.8,13.15,100,25,TRUE,38.2,25.4,25.4,12.8,2.8,358.7,1006.1,86,8.5,55.2,4.6,3,0.71,"Rain, Partially cloudy",FALSE,Rainy,No
283,10/9/2020,47.546338,53,26,2,16,,0.081812364,,,,,,,,,,,,,,,,,,,,,53.13,27.1,24,25.3,25.29575409,30.9,24,25.5,24.2,93.4,11.043,100,33.33,,31.7,13.4,13.4,7.2,1.3,14.5,1006.7,86.3,7.9,52.9,4.5,2,0.75,"Rain, Partially cloudy",FALSE,Rainy,No
284,10/10/2020,46.44294,52,27,6,16,,0.149306163,,,,,,,,,,,,,,,,,,,,,28.45,27.7,24,25.5,25.48730887,30.8,24,25.8,23.6,89.2,11.927,100,33.33,TRUE,27.4,15.2,15.2,7.8,1.1,349.6,1006.9,80.7,8.9,84.5,7.2,5,0.75,"Rain, Partially cloudy",TRUE,Rainy,Yes
285,10/11/2020,46.84036,58,42,12,20,,0.156471109,,,,,,,,,,,,,,,,,,,,,7.23,27.7,24.7,26,25.9754681,31.3,24.7,26.7,23.9,88.5,3.675,100,12.5,TRUE,25.2,15.2,15.2,6,0.3,351,1006.3,79.9,8.6,76.3,6.7,-15.4830992,0.81,"Rain, Partially cloudy",TRUE,Rainy,Yes
286,10/12/2020,48.260383,77,31,3,16,,0.093671277,,,,,,,,,,,,,,,,,,,,,28.96,31.2,25,27.5,27.51959223,36.5,25,30,23.8,80.9,0.25,100,4.17,TRUE,17.3,10.7,10.7,5.3,0.9,356.5,1005.7,63.4,8.9,109.4,9.5,4,0.85,"Rain, Partially cloudy",FALSE,Rainy,No
287,10/13/2020,47.646887,69,32,11,16,,0.933547272,,,,,,,,,,,,,,,,,,,,,5.19,26.2,24,25.1,25.10946054,26.2,24,25.1,23.4,90.3,18.861,100,25,TRUE,24.8,15.8,15.8,7,0,323,1006.8,84.3,8.2,61.8,5.5,2,0.88,"Rain, Partially cloudy",FALSE,Rainy,No
288,10/14/2020,48.037108,63,55,11,12,,0.588886161,,,,,,,,,,,,,,,,,,,,,41.49,32.5,23.7,27.4,27.38609678,37.7,23.7,30.4,23.9,82.3,9.659,100,16.67,TRUE,26.6,14.3,14.3,6.9,0.1,239.6,1006.4,64.4,9.3,170.7,14.7,7,0.91,"Rain, Partially cloudy",FALSE,Rainy,No
289,10/15/2020,47.452693,79,26,11,13,,0.417112057,,,,,,,,,,,,,,,,,,,,,43.42,33.7,25.7,29.1,29.09565072,39.9,25.7,33.4,24.2,75.9,0.665,100,8.33,TRUE,24.5,15.2,15.2,7.4,0.9,202.1,1005.3,61.2,9.8,194.1,16.9,7,0.95,"Rain, Partially cloudy",FALSE,Rainy,NO
290,10/16/2020,47.699584,49,20,4,15,,0.986537437,,,,,,,,,,,,,,,,,,,,,44.8,29.7,24.8,26.8,26.79834769,36.4,24.8,29.7,25.3,91.4,44.595,100,25,,21.2,11.6,11.6,6.3,0.3,59.3,1005.4,82.2,8.3,87.8,7.6,,0.98,"Rain, Partially cloudy",FALSE,Rainy,No
291,10/17/2020,46.089072,46,19,5,7,,0.422710078,,,,,,,,,,,,,,,,,,,,,18.58,26.2,24,24.9,24.91394224,26.2,24,24.9,24.1,95.3,28.231,100,33.33,TRUE,36.4,17.6,17.6,7.5,0.3,356.1,1005.5,86.4,8.4,35.5,3,1,0,,TRUE,Rainy,Yes
292,10/18/2020,45.370249,42,34,4,7,,0.926548419,,,,,,,,,,,,,,,,,,,,,4.99,26,22,23.8,23.8055751,26,22,23.8,22.4,92.1,9.479,100,25,,26.3,15.2,15.2,7.2,0.7,4.1,1007.5,94.6,8.2,68.8,5.8,3,0.05,,TRUE,Rainy,Yes
293,10/19/2020,47.8572,71,41,8,7,,0.278038395,,,,,,,,,,,,,,,,,,,,,27.47,27.1,23,25.2,25.20078276,30.1,23,25.7,23,87.8,0.042,100,12.5,TRUE,20.2,11.2,11.2,5.8,0.4,345.6,1008.7,81.2,9,62.8,5.4,3,0.08,"Rain, Partially cloudy",FALSE,Rainy,No
294,10/20/2020,47.978357,67,31,9,12,1,0.259365212,,,,,,,,,,,,,,,,,,,,,33.62,28.8,24,26.1,26.1123442,33.2,24,27.4,22.9,83,0.677,100,4.17,TRUE,21.2,16.1,16.1,8,0.7,347.8,1009.7,67.1,9,70.8,6.2,4,0.11,,FALSE,Rainy,No
295,10/21/2020,48.210018,65,28,6,9,,0.030984445,,,,,,,,,,,,,,,,,,,,,34.68,29.8,24,26.8,26.79744651,34.1,24,28.9,22.7,78.4,0,0,0,FALSE,28.4,13,13,8.2,0.9,0.2,1010.1,58.3,9.6,122.5,10.6,6,0.15,Partially cloudy,FALSE,raIny,No
296,10/22/2020,48.35645,75,38,16,8,,0.983666478,,,,,,,,,,,,,,,,,,,,,38.46,32,24.5,27.9,27.902276,35.7,24.5,30,22.4,72.8,0,0,0,,20.9,16.1,16.1,6.4,1,7,1009.3,61.2,9.8,97,8.4,4,,Partially cloudy,FALSE,Rainy,No
297,10/23/2020,48.321215,83,59,22,12,,0.400060685,,,,,,,,,,,,,,,,,,,,,6.22,31.5,25.5,28.2,28.18384164,34.2,25.5,29.7,21.5,68.4,0,0,0,FALSE,22.3,16.2,16.2,7.1,0.4,106.3,1009.6,53.5,10,131.5,11.6,6.482058225,0.25,Partially cloudy,FALSE,Rainy,No
298,10/24/2020,46.379874,99,64,29,25,,0.153458368,,,,,,,,,,,,,,,,,,,,,14.62,32.9,24,28,27.99024071,34,24,28.8,19.6,61.5,0,0,0,,35.3,17,17,6.7,0.5,68.3,1010.3,42.8,10,178.7,15.4,7,0.25,Partially cloudy,TRUE,Rainy,
299,10/25/2020,45.466472,128,59,22,25,,0.524472332,,,,,,,,,,,,,,,,,,,,,3.79,32.8,23.1,28.1,28.09562326,34.8,23.1,29.2,20.1,63.5,0,0,0,FALSE,16.2,14.3,14.3,5.5,0,25.3,1010.3,46.1,9.8,172.5,14.8,7,0.28,Partially cloudy,TRUE,Rainy,Yes
300,10/26/2020,47.282526,116,42,11,21,,0.269763373,,,,,,,,,,,,,,,,,,,,,28.96,32.4,24.7,28.5,28.49703566,36.7,24.7,30.7,22,68.9,0,0,0,FALSE,20.5,15.7,15.7,6.4,0.6,44.8,1009.2,44.5,9.8,110.8,9.7,5,,Partially cloudy,FALSE,Rainy,
301,10/27/2020,48.214732,82,46,16,20,,0.303765653,,,,,,,,,,,,,,,,,,,,,33.55,30.5,25.7,27.4,27.39705289,35.9,25.7,29.6,22.6,75.3,0,0,0,FALSE,20.9,12.5,12.5,5.3,1.6,9.5,1008.8,68,9.3,71.9,6.2,,0.35,Partially cloudy,FALSE,Rainy,No
302,10/28/2020,48.310001,94,33,3,15,,0.186157267,,,,,,,,,,,,,,,,,,,,,38.14,31.1,25,27.9,27.9007343,35.5,25,30.6,23.6,78.2,0,0,0,FALSE,25.9,13.9,13.9,8.5,1,323.7,1008.2,50.8,9.3,112.9,9.7,4,0.38,Partially cloudy,FALSE,Rainy,No
303,10/29/2020,48.94092,76,25,2,12,,0.024495786,,,,,,,,,,,,,,,,,,,,,34.51,28.3,25,27,27.00458683,32.6,25,29.2,23.7,82.6,4.954,100,16.67,TRUE,27.4,14.8,14.8,8.3,1.9,309.2,1007.3,63.3,9,74.5,6.5,3,,"Rain, Partially cloudy",,Rainy,
304,10/30/2020,47.963204,57,29,8,14,,0.588498476,,,,,,,,,,,,,,,,,,,,,52.29,31.7,24,27.1,27.09925721,37,24,29.8,24,84.1,2.299,100,20.83,TRUE,22.7,13.5,13.5,5.6,0,117.7,1009.6,65.8,9,91.5,8,4,0.45,"Rain, Partially cloudy",FALSE,,No
305,10/31/2020,46.740663,58,32,7,12,,0.158965792,,,,,,,,,,,,,,,,,,,,,26.1,32,25.7,27.1,27.11438821,39.4,25.7,29.6,25.2,89.6,23.518,100,25,TRUE,50,17.1,17.1,4.2,0.1,37.8,1011,67.3,8.9,90.7,7.7,5,0.5,,TRUE,Rainy,
306,11/1/2020,45.392765,56,42,15,12,,0.934503989,,,,,,,,,,,,,,,,,,,312,363,8.52,29.6,25,27.4,27.38211307,34.7,25,30.2,24.6,84.9,0.01,100,4.17,TRUE,22.3,16.6,16.6,5.9,0.3,53.6,1011.3,51.1,9.5,83,7.1,5,0.52,"Rain, Partially cloudy",,Cool,Yes
307,11/2/2020,46.863546,77,38,13,9,,0.10545099,,,,,,,,,,,,,,,,,,,,,18.92,33.4,25.7,29.1,29.11707416,39.1,25.7,32.5,24,75.4,0,0,0,FALSE,24.8,14,14,6.1,0.3,49.5,1011.2,39.7,9.6,149.7,12.8,7,0.55,,FALSE,Cool,No
308,11/3/2020,47.486251,79,42,18,13,,0.793768212,,,,,,,,,,,,,,,,,,,,,36.95,33,26.7,29.7,29.70231596,37,28.6,32.9,22.2,65,0.068,100,4.17,TRUE,24.1,25.5,25.5,10.6,0.6,69.9,1011.8,44.4,10,169.8,14.7,7,,,FALSE,Cool,No
309,11/4/2020,48.046634,94,39,23,14,,0.651310975,,,,,,,,,,,,,,,,,,,,,32.6,32.6,25.2,28.9,28.89666882,36.3,25.2,31.8,22.5,69,0,0,0,FALSE,24.1,14.3,14.3,7.1,0.5,56,1011.8,39,9.8,140.1,12.3,7,0.62,Partially cloudy,FALSE,Cool,No
310,11/5/2020,47.876549,85,49,20,18,,0.053178283,,,,,,,,,,,,,,,,,,,,,31.12,32.5,25,28.6,28.60782886,36.1,25,31,22.3,69.5,0,0,0,FALSE,19.8,14.3,14.3,6.8,1.8,29.3,1011.6,41.6,9.7,156.6,13.3,7,0.66,Partially cloudy,FALSE,,No
311,11/6/2020,47.061068,94,34,16,10,,0.855868314,,,,,,,,,,,,,,,,,,,,,43.54,33,25,28.5,28.48100277,36.9,25,31.2,22.6,71.3,1.546,100,4.17,TRUE,25.6,16.1,16.1,6.4,1.4,35.8,1011.8,38.6,9.9,108.1,9.3,6,,"Rain, Partially cloudy",FALSE,Cool,No
312,11/7/2020,45.650696,74,49,21,11,,0.557363864,,,,,,,,,,,,,,,,,,,,,19.75,30.4,24.7,27.2,27.20097323,33.4,24.7,29.2,22.5,75.9,1.123,100,12.5,TRUE,33.5,16.7,16.7,7.2,0.9,71.6,1012.5,73.7,9.5,69.6,5.9,4,0.73,"Rain, Partially cloudy",TRUE,Cool,Yes
313,11/8/2020,45.216717,103,49,22,14,,0.066456792,,,,,,,,,,,,,,,,,,,,,15.26,30.9,25.1,27.8,27.80792651,33.6,25.1,29.1,21.6,70.8,0.233,100,8.33,TRUE,42.5,17,17,8.9,0.5,53.5,1013,68,8.8,94.8,8.2,5,,"Rain, Partially cloudy",TRUE,Cool,Yes
314,11/9/2020,47.663055,102,53,23,18,,0.199823042,,,,,,,,,,,,,,,,,,,,,25.84,31.9,23.5,27.8,27.79356822,33.6,23.5,28.9,20.1,63.7,0,0,0,,32.8,19.8,19.8,10,1.7,41.9,1011.9,40.4,9.6,165.9,14.4,7,0.79,Partially cloudy,FALSE,Cool,No
315,11/10/2020,48.047367,108,52,19,15,,0.560904702,,,,,,,,,,,,,,,,,,,,,26.7,32.1,23.2,27.5,27.50392052,33.4,23.2,28,19,61.2,0,0,0,FALSE,35.3,16.6,16.6,9.1,2.2,41.7,1011.1,30.4,9.7,185.9,16.2,8,0.83,Partially cloudy,FALSE,Cool,No
316,11/11/2020,48.637793,101,42,12,15,,0.871290008,,,,,,,,,,,,,,,,,,,,,38.17,27.9,23.2,25.6,25.59387075,29.1,23.2,25.8,18.5,65.5,0.017,100,4.17,TRUE,36.4,32,32,16.2,3.8,13.3,1012.7,63.9,9.5,115.5,10,5,3.390925542,"Rain, Partially cloudy",FALSE,Cool,nO
317,11/12/2020,48.113758,87,53,21,15,,0.966543565,,,,,,,,,,,,,,,,,,,,,,26.9,22.7,24.7,24.7031493,28.6,22.7,24.8,20.3,76.3,0.131,100,8.33,TRUE,34.2,16.1,16.1,10,1.7,24.8,1013.1,74.4,9.4,68,5.7,4,0.9,"Rain, Partially cloudy",FALSE,Cool,No
318,11/13/2020,48.212393,106,62,31,16,,0.244295,,,,,,,,,,,,,,,,,,,,,4.85,32,24,27.5,27.4771399,33,24,28,18.6,59.8,0,0,0,FALSE,38.9,16.1,16.1,8,1.2,27.4,1011.8,40.5,9.5,164.6,14.3,5,3.390925542,Partially cloudy,FALSE,Cool,No
319,11/14/2020,46.679201,120,65,34,16,1,0.333441065,,,,,,,,,,,,,,,,,,,,,21.84,32.3,22.2,27.1,27.11404559,32.6,22.2,27.2,16.5,53.6,0,0,0,FALSE,27.7,13.9,13.9,6.6,0.3,21.7,1011.1,29.2,9.5,157.7,13.6,5,0.97,Partially cloudy,TRUE,,Yes
320,11/15/2020,45.673921,138,37,23,13,,0.795959484,,,,,,,,,,,,,,,,,,,,,5.84,33,22.5,27.8,27.80174548,33.8,22.5,28.3,17.5,54.8,0,0,0,FALSE,25.6,13.9,13.9,4.5,0,38.9,1011.2,29.8,9.5,150.4,13.1,5,-2.417551648,Partially cloudy,,Cool,Yes
321,11/16/2020,47.333964,77,47,18,20,,0.923068251,,,,,,,,,,,,,,,,,,,,,26.55,32.7,24,28.6,28.59797897,36.1,24,30.7,21.3,65.1,0,0,0,FALSE,29.5,14.8,14.8,7.8,1.3,80.5,1011.7,41.8,9.6,159.3,13.7,5,0.03,,FALSE,Cool,
322,11/17/2020,48.823884,89,50,15,23,,0.806601793,,,,,,,,,,,,,,,,,,,,,37.91,34.5,25,29.7,29.71248711,39.2,25,32.7,22.6,67.3,0,0,0,FALSE,19.4,11.2,11.2,5,0.2,41,1010.3,34.6,9.6,109.3,9.4,5,0.07,,FALSE,Cool,No
323,11/18/2020,48.472826,100,57,20,21,1,0.56632069,,,,,,,,,,,,,,,,,,,,,44.28,34.1,26.7,30.3,30.29922049,38.9,29.5,34.5,23.3,67.4,0,0,0,FALSE,18,14.3,14.3,4.6,0,29.4,1009.2,36.2,9.7,126.4,11,5,0.1,Partially cloudy,FALSE,Cool,No
324,11/19/2020,48.655804,119,53,12,21,1,0.456550551,,,,,,,,,,,,,,,,,,,,,12.27,35.7,26.7,31,30.99375325,40.4,29.7,35.4,23.2,64.9,0,0,0,FALSE,16.9,12.5,12.5,5.4,0.3,62.8,1008.5,29.3,9.5,151.1,13.2,5,0.13,Partially cloudy,,,No
325,11/20/2020,48.714665,107,43,5,17,,0.021696302,,,,,,,,,,,,,,,,,,,,,13.17,34.2,27.7,30.3,30.30054923,42.1,32,35.5,24.2,71.1,3.89,100,4.17,TRUE,22,13,13,5.9,0,170.9,1009,35.3,9,82.8,7.2,4,3.390925542,"Rain, Partially cloudy",FALSE,Cool,No
326,11/21/2020,47.525801,80,35,11,19,,0.396500045,,,,,,,,,,,,,,,,,,,,,22.19,32.7,25.5,28.2,28.20073099,40.2,25.5,32,24.6,81.9,15.247,100,16.67,TRUE,35.3,19.5,19.5,5.8,0,149.7,1009.4,53,8.7,86.9,7.5,4,0.2,"Rain, Partially cloudy",TRUE,Cool,
327,11/22/2020,46.871623,77,49,7,21,,0.844070709,,,,,,,,,,,,,,,,,,,,,6.35,32.1,25,28,28.00517583,38.9,25,31.2,24.7,83.1,23.31,100,20.83,TRUE,30.6,13.4,13.4,5.7,0,1.4,1011.3,61.6,9.6,98.5,8.4,5,0.25,"Rain, Partially cloudy",TRUE,Cool,
